latitude,longitude,location,count
-28.8166236,24.991639,South Africa,5
46.603354,1.8883335,France,106
31.1728205,-7.3362482,Morocco,19
47.1817585,19.5060937,Hungary,1
63.2467777,25.9209164,Finland,1
31.5313113,34.8667654,Israel,5
14.8971921,100.83273,Thailand,7
-21.3019905,165.4880773,New Caledonia,6
-32.8755548,-56.0201525,Uruguay,1
47.59397,14.12456,Austria,6
45.9852129,24.6859225,Romania,1
20.0171109,103.378253,Lao People's Democratic Republic,1
36.5748441,139.2394179,Japan,7
8.559559,-81.1308434,Panama,35
22.3511148,78.6677428,India,112
54.7023545,-3.2765753,United Kingdom,4
16.7417041,-62.1916844,Montserrat,1
16.3471243,47.8915271,Yemen,1
-0.8999695,11.6899699,Gabon,4
22.2793278,114.1628131,Hong Kong,1
40.0332629,-7.8896263,Portugal,2
32.3293809,-83.1137366,Georgia,2
49.4871968,31.2718321,Ukraine,2
30.3308401,71.247499,Pakistan,9
45.5643442,17.0118954,Croatia,1
46.6745434,29.7521996,"Moldova, Republic of",9
55.3500003,23.7499997,Lithuania,1
9.6000359,7.9999721,Nigeria,22
1.357107,103.8194992,Singapore,3
49.8158683,6.1296751,Luxembourg,1
38.9597594,34.9249653,Turkey,2
-24.7761086,134.755,Australia,10
39.7837304,-100.445882,United States,82
42.6384261,12.674297,Italy,1
22.1757605,113.5514142,Macao,1
39.3260685,-4.8379791,Spain,2
35.000074,104.999927,China,2
33.8439408,9.400138,Tunisia,5
51.0834196,10.4234469,Germany,23
46.8250388,103.8499736,Mongolia,1
59.6749712,14.5208584,Sweden,1
-10.3333333,-53.2,Brazil,1
4.099917,-72.9088133,Colombia,7
18.19897685,-66.26152219418967,Puerto Rico,3
50.6402809,4.6667145,Belgium,8
60.5000209,9.0999715,Norway,1
1.4419683,38.4313975,Kenya,8
52.865196,-7.9794599,Ireland,3
46.7985624,8.2319736,Switzerland,3
24.0002488,53.9994829,United Arab Emirates,4
61.0666922,-107.991707,Canada,90
-2.4833826,117.8902853,Indonesia,4
24.4769288,90.2934413,Bangladesh,32
8.0300284,-1.0800271,Holy See (Vatican City State),2
18.1850507,-77.3947693,Ghana,1
,,Jamaica,3
