Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Hawaii,US,2022-08-26 04:34:15,21.0943,-157.4983,337737,1632,,,15.0,23853.639312028205,4258491.0,,0.483216230380444,84000015.0,USA,300768.0779053474,,2022-08-25,,
Idaho,US,2022-08-26 04:34:15,44.2405,-114.4788,487329,5100,,,16.0,27269.797125454308,1267950.0,,1.0465209334966727,84000016.0,USA,70951.53226099779,,2022-08-25,,
Illinois,US,2022-08-26 04:34:15,40.3495,-88.9861,3666458,39265,,,17.0,28933.94722037188,,,1.0709245817080135,84000017.0,USA,,,2022-08-25,,
Indiana,US,2022-08-26 04:34:15,39.8494,-86.2583,1882527,24378,,,18.0,27962.94951189199,20759175.0,,1.2949615065281932,84000018.0,USA,308355.6105349514,,2022-08-25,,
Iowa,US,2022-08-26 04:34:15,42.0115,-93.2105,838125,9907,,,19.0,26564.386844031986,,,1.1820432513049963,84000019.0,USA,,,2022-08-25,,
Kansas,US,2022-08-26 04:34:15,38.5266,-96.7265,859119,8958,,,20.0,29489.406222604222,,,1.0426960642239318,84000020.0,USA,,,2022-08-25,,
Kentucky,US,2022-08-26 04:34:15,37.6681,-84.6701,1527828,16652,,,21.0,34197.39985446563,,,1.0899132624876622,84000021.0,USA,,,2022-08-25,,
Louisiana,US,2022-08-26 04:34:15,31.1695,-91.8678,1420507,17833,,,22.0,30556.462600837986,14342997.0,,1.2553968407054663,84000022.0,USA,308531.5675420335,,2022-08-25,,
Maine,US,2022-08-26 04:34:15,44.6939,-69.3819,281479,2507,,,23.0,20940.074928657086,4470107.0,,0.8906525886478209,84000023.0,USA,332544.79204173153,,2022-08-25,,
Maryland,US,2022-08-26 04:34:15,39.0639,-76.8021,1217056,15145,,,24.0,20090.130473329715,22718531.0,,1.2453636427257049,84000024.0,USA,3.757812355268555e-05,,2022-08-25,,
Massachusetts,US,2022-08-26 04:34:15,42.2302,-71.5301,2005250,21390,,,25.0,29093.204602159767,46932454.0,,1.0666999127290862,84000025.0,USA,6.809203274920592e-05,,2022-08-25,,
Michigan,US,2022-08-26 04:34:15,43.3266,-84.5361,2751201,37909,,,26.0,27548.21662110512,25870108.0,,1.3779073212026312,84000026.0,USA,2.590415382937795e-05,,2022-08-25,,
Minnesota,US,2022-08-26 04:34:15,45.6945,-93.9002,1630819,13429,,,27.0,28917.1172870854,,,0.823451284293352,84000027.0,USA,,,2022-08-25,,
Mississippi,US,2022-08-26 04:34:15,32.7416,-89.6787,904905,12766,,,28.0,30405.23172730935,,,1.4107558251971202,84000028.0,USA,,,2022-08-25,,
Missouri,US,2022-08-26 04:34:15,38.4561,-92.2884,1609574,21349,,,29.0,26137.381978248868,,,1.3282939451913554,84000029.0,USA,,,2022-08-25,,
Montana,US,2022-08-26 04:34:15,46.9219,-110.4544,302455,3490,,,30.0,28299.141636523207,3041795.0,,1.1538906614207072,84000030.0,USA,284604.94134422677,,2022-08-25,,
Nebraska,US,2022-08-26 04:34:15,41.1254,-98.2681,527506,4454,,,31.0,27269.634947746286,,,0.8443505855857564,84000031.0,USA,,,2022-08-25,,
Nevada,US,2022-08-26 04:34:15,38.3135,-117.0554,839651,11375,,,32.0,27016.845900012857,,,1.3669229872584752,84000032.0,USA,,,2022-08-25,,
New Hampshire,US,2022-08-26 04:34:15,43.4525,-71.5639,343382,2652,,,33.0,25254.04295471611,,,0.7723177103051412,84000033.0,USA,,,2022-08-25,,
New Jersey,US,2022-08-26 04:34:15,40.2989,-74.521,2664507,34512,,,34.0,29998.31122729868,31255387.0,,1.2952489897755946,84000034.0,USA,351888.2955667465,,2022-08-25,,
New Mexico,US,2022-08-26 04:34:15,34.8405,-106.2485,608632,8392,,,35.0,29026.30591240392,7768179.0,,1.3788299004981663,84000035.0,USA,370472.6994905164,,2022-08-25,,
New York,US,2022-08-26 04:34:15,42.1657,-74.9481,5963876,70995,,,36.0,30656.98871276061,117659985.0,,1.1904171045809806,84000036.0,USA,604824.9212573472,,2022-08-25,,
North Carolina,US,2022-08-26 04:34:15,35.6301,-79.8064,3098923,25843,,,37.0,29547.08410039432,29932222.0,,0.8339348864105368,84000037.0,USA,2.8539266085206795e-05,,2022-08-25,,
North Dakota,US,2022-08-26 04:34:15,47.5289,-99.784,263862,2330,,,38.0,34538.26591537172,,,0.8852482684467882,84000038.0,USA,,,2022-08-25,,
Northern Mariana Islands,US,2022-08-26 04:34:15,15.0979,145.6739,13050,40,,,69.0,23665.312636007544,,,0.3065134099616858,580.0,MNP,,,2022-08-25,,
Ohio,US,2022-08-26 04:34:15,40.3888,-82.7649,3049546,39642,,,39.0,26088.800677554304,,,1.2921923460082254,84000039.0,USA,,,2022-08-25,,
Oklahoma,US,2022-08-26 04:34:15,35.5653,-96.9289,1163366,16644,,,40.0,29400.4176426868,,,1.4306761586637395,84000040.0,USA,,,2022-08-25,,
Oregon,US,2022-08-26 04:34:15,44.572,-122.0709,874697,8373,,,41.0,20738.53822559349,12418252.0,,0.957245766248198,84000041.0,USA,294429.2638445688,,2022-08-25,,
Pennsylvania,US,2022-08-26 04:34:15,40.5908,-77.2098,3167638,46596,,,42.0,24743.32699395383,27432313.0,,1.4710014212482614,84000042.0,USA,214281.6479532985,,2022-08-25,,
Puerto Rico,US,2022-08-26 04:34:15,18.2208,-66.5901,913219,4930,,,72.0,28594.44267359365,4576610.0,,0.5398486014855144,630.0,PRI,143301.4559315952,,2022-08-25,,
Rhode Island,US,2022-08-26 04:34:15,41.6809,-71.5118,416638,3643,,,44.0,39329.18051542392,8303378.0,,0.874380157354826,84000044.0,USA,783810.0515310644,,2022-08-25,,
South Carolina,US,2022-08-26 04:34:15,33.8569,-80.945,1661020,18245,,,45.0,32260.871355449148,12808249.0,,1.098421451878966,84000045.0,USA,248765.9831173377,,2022-08-25,,
South Dakota,US,2022-08-26 04:34:15,44.2998,-99.4388,256255,2984,,,46.0,28966.52834595025,1386374.0,,1.1644650836081247,84000046.0,USA,1.5671281250741812e-05,,2022-08-25,,
Tennessee,US,2022-08-26 04:34:15,35.7478,-86.6923,2287464,27419,,,47.0,33383.34914295638,13631098.0,,1.2005840845299625,84000047.0,USA,199600.9766334845,,2022-08-25,,
Texas,US,2022-08-26 04:34:15,31.0545,-97.5635,7802507,90139,,,48.0,26909.018560256885,52014509.0,,1.1552568937137768,84000048.0,USA,179385.85483917527,,2022-08-25,,
Utah,US,2022-08-26 04:34:15,40.15,-111.8624,1026812,4968,,,49.0,32028.24241615143,6396796.0,,0.4838276140130813,84000049.0,USA,199528.37810102315,,2022-08-25,,
Vermont,US,2022-08-26 04:34:15,44.0459,-72.7107,139769,707,,,50.0,22399.273064108504,3799761.0,,0.5058346271347723,84000050.0,USA,608946.7923312751,,2022-08-25,,
Virgin Islands,US,2022-08-26 04:34:15,18.3358,-64.8963,22547,122,,,78.0,21019.31610545549,458264.0,,0.5410919412782188,850.0,VIR,427214.080620502,,2022-08-25,,
Virginia,US,2022-08-26 04:34:15,37.7693,-78.17,2025685,21335,,,51.0,23732.41744292292,14697600.0,,1.0532239711504998,84000051.0,USA,172193.3956212856,,2022-08-25,,
Washington,US,2022-08-26 04:34:15,47.4009,-121.4905,1776370,13978,,,53.0,23327.57663173993,,,0.7868856150464149,84000053.0,USA,,,2022-08-25,,
West Virginia,US,2022-08-26 04:34:15,38.4912,-80.9545,577475,7261,,,54.0,32222.52415677955,6835472.0,,1.2573704489371835,84000054.0,USA,381412.46225895535,,2022-08-25,,
Wisconsin,US,2022-08-26 04:34:15,44.2685,-89.6165,1824387,15034,,,55.0,31333.75148606236,17599995.0,,0.8240576149687538,84000055.0,USA,302278.9953479936,,2022-08-25,,
Wyoming,US,2022-08-26 04:34:15,42.756,-107.3025,174213,1877,,,56.0,30101.130176809347,1494874.0,,1.0774167255026892,84000056.0,USA,258289.54711719387,,2022-08-25,,
