latitude,longitude,location,count
31.1728205,-7.3362482,Morocco,11
46.603354,1.8883335,France,91
-28.8166236,24.991639,South Africa,2
55.670249,10.3333283,Denmark,1
31.5313113,34.8667654,Holy See (Vatican City State),2
14.8971921,100.83273,Israel,3
19.703182249999998,-79.9174627243246,Thailand,7
-21.3019905,165.4880773,Cayman Islands,1
47.59397,14.12456,New Caledonia,4
-41.5000831,172.8344077,Austria,1
36.5748441,139.2394179,New Zealand,9
8.559559,-81.1308434,Japan,8
22.3511148,78.6677428,Panama,30
-4.6574977,55.4540146,India,63
54.7023545,-3.2765753,Seychelles,1
16.3471243,47.8915271,United Kingdom,4
-0.8999695,11.6899699,Yemen,1
22.2793278,114.1628131,Gabon,2
40.0332629,-7.8896263,Hong Kong,1
30.3308401,71.247499,Portugal,1
46.6745434,29.7521996,Pakistan,6
9.6000359,7.9999721,"Moldova, Republic of",5
38.9597594,34.9249653,Nigeria,15
-24.7761086,134.755,Turkey,4
39.7837304,-100.445882,Australia,6
42.6384261,12.674297,United States,126
22.1757605,113.5514142,Italy,4
39.3260685,-4.8379791,Macao,1
35.000074,104.999927,Spain,1
46.8250388,103.8499736,China,1
51.0834196,10.4234469,Mongolia,1
4.099917,-72.9088133,Germany,5
18.19897685,-66.26152219418967,Colombia,6
52.865196,-7.9794599,Puerto Rico,3
1.4419683,38.4313975,Ireland,3
46.7985624,8.2319736,Kenya,2
-2.4833826,117.8902853,Switzerland,2
61.0666922,-107.991707,Indonesia,3
24.4769288,90.2934413,Canada,242
59.6749712,14.5208584,Bangladesh,17
38.9953683,21.9877132,Sweden,1
,,Greece,1
