latitude,longitude,location,count
31.1728205,-7.3362482,Morocco,19
46.603354,1.8883335,France,94
-28.8166236,24.991639,South Africa,6
55.670249,10.3333283,Denmark,1
63.2467777,25.9209164,Holy See (Vatican City State),3
31.5313113,34.8667654,Finland,1
14.8971921,100.83273,Israel,4
-21.3019905,165.4880773,Thailand,6
-6.8699697,-75.0458515,New Caledonia,4
47.59397,14.12456,Peru,1
41.000028,19.9999619,Austria,1
36.5748441,139.2394179,Albania,1
8.559559,-81.1308434,Japan,6
22.3511148,78.6677428,Panama,20
54.7023545,-3.2765753,India,105
-0.8999695,11.6899699,United Kingdom,13
22.2793278,114.1628131,Gabon,7
40.0332629,-7.8896263,Hong Kong,1
32.3293809,-83.1137366,Portugal,1
4.1413025,-56.0771187,Georgia,1
30.3308401,71.247499,Suriname,1
45.5643442,17.0118954,Pakistan,2
46.6745434,29.7521996,Croatia,1
40.3936294,47.7872508,"Moldova, Republic of",10
9.6000359,7.9999721,Azerbaijan,1
1.357107,103.8194992,Nigeria,14
38.9597594,34.9249653,Singapore,1
-24.7761086,134.755,Turkey,6
39.7837304,-100.445882,Australia,2
42.6384261,12.674297,United States,63
52.15517,5.38721,Italy,3
22.1757605,113.5514142,Netherlands,1
39.3260685,-4.8379791,Macao,1
33.8439408,9.400138,Spain,3
42.9868853,19.5180992,Tunisia,1
51.0834196,10.4234469,Montenegro,1
26.2540493,29.2675469,Germany,18
4.6125522,13.1535811,Egypt,2
-10.3333333,-53.2,Cameroon,3
4.099917,-72.9088133,Brazil,1
18.19897685,-66.26152219418967,Colombia,5
52.865196,-7.9794599,Puerto Rico,3
50.6402809,4.6667145,Ireland,6
1.4419683,38.4313975,Belgium,10
24.0002488,53.9994829,Kenya,5
46.7985624,8.2319736,United Arab Emirates,1
-2.4833826,117.8902853,Switzerland,5
61.0666922,-107.991707,Indonesia,2
24.4769288,90.2934413,Canada,469
59.6749712,14.5208584,Bangladesh,15
8.0300284,-1.0800271,Sweden,4
,,Ghana,5
